,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
128,65-74,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,A little
129,45-54,Secondary education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Rather trust,Rather trust,Don't trust at all,Parempoolsed,Rather not,Almost not at all
130,35-44,Secondary education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Strongly disagree,Disagree,Agree,Agree,Rather trust,Rather not trust,Don't trust at all,Isamaa,Rather not,A little
131,65-74,Higher education,Male,Other,Urban,Tartu linn,True,Strongly agree,Agree,Agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather not,Somewhat
132,18-24,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Don't know,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,A little
133,35-44,Basic education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather yes,Somewhat
134,65-74,Secondary education,Male,Other,Small town,Lääne-Virumaa,True,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Rather not trust,Rather not trust,Don't trust at all,No party,Not at all,Almost not at all
135,45-54,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Trust completely,Trust completely,Parempoolsed,Rather yes,A lot
136,55-64,Higher education,Male,Estonian,Rural,Pärnumaa,True,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Definitely,A lot
137,18-24,Basic education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Neither trust nor distrust,Isamaa,Rather yes,Somewhat
138,45-54,Higher education,Male,Estonian,Small town,Jõgeva- ja Tartumaa,True,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Rather not trust,Don't trust at all,Don't trust at all,No party,Not at all,Somewhat
139,25-34,Higher education,Female,Other,Small town,Harju- ja Raplamaa,True,Don't know,Disagree,Strongly disagree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Undecided,Not at all,Almost not at all
140,65-74,Basic education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Don't know,Strongly agree,Agree,Agree,Strongly agree,Don't trust at all,Rather trust,Don't trust at all,Isamaa,Rather yes,Somewhat
141,55-64,Higher education,Female,Other,Small town,Harju- ja Raplamaa,True,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,A little
142,35-44,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Rather not trust,SDE,Rather not,Somewhat
143,45-54,Basic education,Male,Estonian,Urban,Pärnumaa,True,Strongly agree,Don't know,Strongly agree,Strongly agree,Strongly agree,Rather trust,Rather trust,Rather trust,Undecided,Not at all,A little
144,18-24,Higher education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Disagree,Strongly agree,Agree,Agree,Don't trust at all,Rather not trust,Rather trust,Keskerakond,Definitely,A lot
145,55-64,Secondary education,Female,Estonian,Rural,Pärnumaa,True,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather not,A little
146,65-74,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Rather not,A lot
147,35-44,Higher education,Female,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Neither trust nor distrust,No party,Not at all,Somewhat
148,45-54,Secondary education,Male,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,Somewhat
149,35-44,Higher education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Undecided,Rather yes,Somewhat
150,35-44,Secondary education,Male,Other,Small town,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Agree,Disagree,Agree,Don't trust at all,Rather not trust,Don't trust at all,Keskerakond,Definitely,Somewhat
151,35-44,Higher education,Female,Other,,Jõgeva- ja Tartumaa,True,Agree,Disagree,Disagree,Strongly disagree,Disagree,Rather not trust,Rather not trust,Rather not trust,Parempoolsed,Rather not,A little
152,35-44,Basic education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,No party,Not at all,Almost not at all
153,75+,Secondary education,Female,Other,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Don't know,Don't know,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,Other,Rather not,A little
154,45-54,Higher education,Male,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Rather not trust,Rather trust,Rather not trust,Keskerakond,Not at all,Somewhat
155,35-44,Basic education,Male,Estonian,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Don't know,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,Other,Not at all,Somewhat
156,55-64,Higher education,Female,Other,Small town,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Rather trust,Rather not trust,Rather trust,Isamaa,Rather yes,Somewhat
157,25-34,Higher education,Female,Other,Small town,Harju- ja Raplamaa,True,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Rather not trust,Don't trust at all,Rather not trust,Eesti 200,Rather not,A little
158,35-44,Secondary education,Male,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Agree,Don't know,Agree,Rather not trust,Rather not trust,Rather not trust,No party,Rather not,Somewhat
159,65-74,Secondary education,Male,Other,Urban,Lääne-Virumaa,True,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,No party,Rather not,Somewhat
160,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Don't know,Strongly disagree,Agree,Don't know,Strongly disagree,Rather trust,Trust completely,Rather not trust,Reformierakond,Definitely,A lot
161,55-64,Secondary education,Male,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Don't trust at all,Keskerakond,Rather yes,Somewhat
162,35-44,Higher education,Female,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Agree,Disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather yes,A lot
163,45-54,Higher education,Female,Estonian,Rural,Ida-Virumaa,True,Strongly disagree,Strongly disagree,Don't know,Strongly agree,Don't know,Trust completely,Rather trust,Trust completely,SDE,Rather yes,Somewhat
164,25-34,Secondary education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Disagree,Strongly disagree,Don't know,Don't know,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,A little
165,25-34,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Agree,Agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,Somewhat
166,55-64,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly agree,Agree,Disagree,Don't know,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,Somewhat
167,18-24,Basic education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,EKRE,Definitely,A lot
168,35-44,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Disagree,Strongly agree,Disagree,Don't know,Don't trust at all,Don't trust at all,Rather trust,Keskerakond,Rather yes,A lot
169,55-64,Higher education,Male,Other,Urban,Harju- ja Raplamaa,True,Agree,Disagree,Agree,Disagree,Agree,Rather trust,Rather trust,Rather not trust,Keskerakond,Definitely,Somewhat
170,35-44,Higher education,Male,Other,Urban,Ida-Virumaa,True,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Rather trust,Rather trust,Trust completely,SDE,Definitely,A lot
171,65-74,Basic education,Female,Other,Rural,Lääne-Virumaa,True,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Undecided,Rather not,Almost not at all
172,65-74,Basic education,Female,Estonian,Rural,Pärnumaa,True,Don't know,Don't know,Don't know,Don't know,Don't know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Isamaa,Definitely,Almost not at all
173,75+,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Rather trust,Undecided,Rather not,A lot
174,25-34,Basic education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Strongly agree,Don't know,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,Almost not at all
175,45-54,Higher education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Disagree,Strongly agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Keskerakond,Rather yes,Somewhat
176,75+,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Don't know,Disagree,Rather trust,Rather trust,Rather trust,Isamaa,Rather yes,A little
177,45-54,Basic education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly disagree,Agree,Don't know,Don't know,Rather trust,Rather trust,Neither trust nor distrust,Keskerakond,Rather yes,Almost not at all
178,75+,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Don't know,Agree,Strongly agree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
179,75+,Higher education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Agree,Agree,Disagree,Disagree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Not at all,A little
180,25-34,Higher education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Agree,Disagree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather yes,Somewhat
181,35-44,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Don't know,Agree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,Almost not at all
182,35-44,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Trust completely,Rather not trust,Trust completely,Eesti 200,Rather not,Somewhat
183,65-74,Secondary education,Male,Other,Urban,Tartu linn,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
184,35-44,Basic education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Don't know,Agree,Don't know,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,A little
185,65-74,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Rather not trust,Rather not trust,Rather not trust,Undecided,Rather not,Somewhat
186,65-74,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
187,18-24,Basic education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Disagree,Agree,Don't know,Agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather yes,A little
188,75+,Secondary education,Male,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,No party,Not at all,A little
189,25-34,Higher education,Male,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,Almost not at all
190,45-54,Basic education,Male,Estonian,Urban,Pärnumaa,True,Agree,Strongly disagree,Disagree,Disagree,Disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Rather yes,A little
191,35-44,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,Somewhat
192,45-54,Higher education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Trust completely,Rather trust,Rather trust,SDE,Definitely,A lot
193,45-54,Basic education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Rather not trust,Don't trust at all,Don't trust at all,EKRE,Rather not,A little
194,55-64,Basic education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Don't trust at all,Isamaa,Definitely,A lot
195,25-34,Basic education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Agree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,Somewhat
196,18-24,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Rather not trust,Rather trust,Rather trust,SDE,Definitely,Somewhat
197,65-74,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather not,Somewhat
198,35-44,Secondary education,Male,Other,Urban,Tartu linn,True,Agree,Disagree,Agree,Strongly agree,Agree,Rather not trust,Don't trust at all,Rather not trust,Rohelised,Rather not,Somewhat
199,75+,Higher education,Male,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,A lot
200,35-44,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Agree,Disagree,Don't know,Disagree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,Somewhat
201,18-24,Basic education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Don't know,Strongly disagree,Disagree,Agree,Rather not trust,Don't trust at all,Rather not trust,Keskerakond,Rather yes,A little
202,45-54,Secondary education,Male,Other,Urban,Tartu linn,True,Don't know,Don't know,Don't know,Don't know,Don't know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,No party,Not at all,Almost not at all
203,45-54,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly disagree,Disagree,Agree,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather not,Somewhat
204,25-34,Higher education,Male,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Don't trust at all,Don't trust at all,Rather trust,SDE,Rather yes,A lot
205,45-54,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,Somewhat
206,25-34,Basic education,Female,Estonian,Small town,Pärnumaa,True,Don't know,Strongly agree,Strongly disagree,Don't know,Strongly agree,Rather not trust,Rather not trust,Neither trust nor distrust,Isamaa,Rather not,Somewhat
207,55-64,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Agree,Agree,Disagree,Agree,Rather trust,Rather trust,Rather not trust,Keskerakond,Rather yes,A little
208,65-74,Basic education,Male,Estonian,Urban,Lääne-Virumaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Definitely,A lot
209,25-34,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Disagree,Agree,Agree,Disagree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Rather not,Somewhat
